"RCTrack","RCDate","RCRace","AeMto","Weight","Horse","FD","TripleCrown","Sex","YBorn","MBorn","State","Breeder","Color","Sire","SireSire","Dam","DamSire","Owner","Sale","SaleYear","SalePrice","LastRaced","Bute","Lasix","Blinker","ClaimPrice","Apprentice","Jockey","Trainer","PostPosition","CYEarnings","CYStarts","CYWins","CYPlaces","CYShows","PYEarnings","PYStarts","PYWins","PYPlaces","PYShows","Earnings","Starts","Wins","Places","Shows","WEarnings","WStarts","WWins","WPlaces","WShows","TEarnings","TStarts","TWins","TPlaces","TShows","DEarnings","DStarts","DWins","DPlaces","DShows","TrkEarnings","TrkStarts","TrkWins","TrkPlaces","TrkShows","DistEarnings","DistStarts","DistWins","DistPlaces","DistShows","Entry","JockMeetStarts","JockMeetEarnings","JockMeetWins","JockMeetPlaces","JockMeetShows","JockMeetWinPct","JockMeetMoneyPct","JockYTDStarts","JockYTDEarnings","JockYTDWins","JockYTDPlaces","JockYTDShows","JockYTDWinPct","JockYTDMoneyPct","TrainerMeetStarts","TrainerMeetEarnings","TrainerMeetWins","TrainerMeetPlaces","TrainerMeetShows","TrainerMeetWinPct","TrainerMeetMoneyPct","TrainerYTDStarts","TrainerYTDEarnings","TrainerYTDWins","TrainerYTDPlaces","TrainerYTDShows","TrainerYTDWinPct","TrainerYTDMoneyPct","QtrStarts","QtrEarnings","QtrWins","QtrPlaces","QtrShows","EnteredTrack","EnteredDate","EnteredRace","StatsPriorYear","StudFee","Scratch","JTTrackPeriod","JTTrackStarts","JTTrackEarnings","JTTrackWinPct","JTAllStarts","JTAllWinPct","JTAllRoi"
"OP",05/02/2020,3,"A",111,"Macho Rocco","D","N","g",2017,3,"Ark","Libbie Eileen Thiel & Big Dog Racing","Gr/ro","Macho Rocket","Macho Uno","Vuitton Too","Unbridled's Song","Big Dog Racing","",0,0.000,04/23/2020,"","L","",0.00,7,"Roberts C","Mason Ingrid",14,16.360,4,1,0,0,0.000,0,0,0,0,16.360,4,1,0,0,12.000,1,1,0,0,0.000,0,0,0,0,16.360,4,1,0,0,16.360,4,1,0,0,16.360,4,1,0,0,"",86,0.000,6,6,5,0.07,0.20,135,0.000,12,11,10,0.09,0.24,121,0.000,14,18,10,0.12,0.35,121,0.000,14,18,10,0.12,0.35,0,0.000,0,0,0,"",,0,,1.000,"N","2019-20",11,4.62,0.18,11,0.18,4.62
"OP",05/02/2020,4,"",113,"Brother Jukebox","D","N","g",2017,4,"Ark","Cynthia Wade","B.","Mr. Besilu","A.P. Indy","Mikalas Mission","Yonaguska","J-Lu LTD. Co.","",0,0.000,02/23/2020,"","L","",0.00,0,"Quinonez L S","Delany Sarah",1,0.283,1,0,0,0,0.000,0,0,0,0,0.283,1,0,0,0,0.283,1,0,0,0,0.000,0,0,0,0,0.283,1,0,0,0,0.283,1,0,0,0,0.283,1,0,0,0,"",143,0.000,14,9,16,0.10,0.27,143,0.000,14,9,16,0.10,0.27,1,0.000,0,0,0,0.00,0.00,43,0.000,8,3,4,0.19,0.35,0,0.000,0,0,0,"",,0,,2.000,"N","2019-20",1,0.00,0.00,1,0.00,0.00
"OP",05/02/2020,4,"",117,"Bold Proposition","D","N","g",2016,2,"Ky","John C. Oxley","Gr/ro","Tapit","Pulpit","Funny Proposition","Medaglia d'Oro","Cliff Racing LLC","",0,0.000,11/17/2018,"","L","B",0.00,7,"Roberts C","Litfin Nevada",2,9.972,3,0,0,2,0.000,0,0,0,0,9.972,3,0,0,2,0.000,0,0,0,0,4.180,1,0,0,1,5.792,2,0,0,1,0.000,0,0,0,0,5.600,1,0,0,1,"",86,0.000,6,6,5,0.07,0.20,135,0.000,12,11,10,0.09,0.24,21,0.000,1,0,0,0.05,0.05,30,0.000,2,3,0,0.07,0.17,0,0.000,0,0,0,"",,0,,200.000,"N","2019-20",2,0.00,0.00,2,0.00,0.00
"OP",05/02/2020,4,"",118,"Macho Bob","D","N","g",2017,5,"Ky","Gary & Mary West Stables Inc.","Ch.","Power Broker","Pulpit","Pacific Breeze","Fusaichi Pegasus","Tim Szynskie","",0,0.000,,"","l","",0.00,0,"Wales T","Hall John L",3,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",50,0.000,1,1,4,0.02,0.12,55,0.000,1,1,5,0.02,0.13,11,0.000,0,1,1,0.00,0.18,12,0.000,1,1,1,0.08,0.25,0,0.000,0,0,0,"",,0,,0.000,"N","2019-20",5,0.00,0.00,5,0.00,0.00
"OP",05/02/2020,4,"",118,"Toussaint","D","N","g",2017,4,"Iowa","Black Oak Farm","B.","Palace","City Zip","Sakakawea","Rossini","Black Oak Farm","",0,0.000,,"","l","",0.00,0,"Birzer A E","Smith Kenny P",4,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",174,0.000,6,9,15,0.03,0.17,174,0.000,6,9,15,0.03,0.17,65,0.000,5,5,1,0.08,0.17,66,0.000,5,5,1,0.08,0.17,0,0.000,0,0,0,"",,0,,5.000,"N","2019-20",92,0.90,0.07,163,0.14,2.00
"OP",05/02/2020,4,"",118,"Quality Warrior","D","Y","c",2017,3,"Ky","Michael Samotowka","B.","Quality Road","Elusive Quality","Just Parker","Forest Camp","Long Shot LLC","KEESEP",18,200.000,04/11/2020,"","L","",0.00,0,"Elliott S","Lukas D Wayne",5,0.751,2,0,0,0,0.000,0,0,0,0,0.751,2,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.751,2,0,0,0,0.751,2,0,0,0,0.751,2,0,0,0,"",246,0.000,20,33,20,0.08,0.30,276,0.000,33,41,22,0.12,0.35,78,0.000,7,7,12,0.09,0.33,78,0.000,7,7,12,0.09,0.33,0,0.000,0,0,0,"BC",05/02/20,14,,200.000,"N","2019-20",3,0.00,0.00,3,0.00,0.00
"OP",05/02/2020,4,"",118,"My Northern Star","D","N","g",2017,2,"Ind","Jim Edgar & Martin Coleman","B.","Northern Afleet","Afleet","Make Her a Star","Make Your Choice","Jim Edgar & Martin Coleman","",0,0.000,,"","l","",0.00,0,"Mojica O","Steele Brandi",6,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",256,0.000,36,35,28,0.14,0.39,256,0.000,36,35,28,0.14,0.39,3,0.000,0,0,0,0.00,0.00,4,0.000,0,1,0,0.00,0.25,0,0.000,0,0,0,"",,0,,5.000,"N","2019-20",0,0.00,0.00,0,0.00,0.00
"OP",05/02/2020,4,"",124,"Major Attraction","D","N","c",2016,3,"Ky","Nordic Thoroughbreds & Distorted Humor Syndicate","Ch.","Distorted Humor","Forty Niner","Nothing to Declare","Vindication","Gary & Mary West","KEESEP",17,425.000,04/05/2020,"","L","",0.00,0,"Cohen D","Catalano Wayne M",7,12.000,2,0,1,0,0.000,0,0,0,0,12.000,2,0,1,0,3.000,1,0,0,0,0.000,0,0,0,0,12.000,2,0,1,0,3.000,1,0,0,0,12.000,2,0,1,0,"",299,0.000,44,39,36,0.15,0.40,299,0.000,44,39,36,0.15,0.40,59,0.000,7,10,9,0.12,0.44,81,0.000,9,12,15,0.11,0.44,0,0.000,0,0,0,"",,0,,50.000,"N","2019-20",7,2.23,0.14,9,0.11,1.73
"OP",05/02/2020,4,"",118,"J Z My Man","D","N","c",2017,2,"Ky","Grousemont Farm","B.","American Pharoah","Pioneerof the Nile","J Z Warrior","Harlan's Holiday","Scott Dilworth, Tom VanMeter & Alfonso P","FTFMAR",19,410.000,03/20/2020,"","L","F",0.00,0,"Garcia M","Sharp Joe",8,0.500,1,0,0,0,0.000,0,0,0,0,0.500,1,0,0,0,0.000,0,0,0,0,0.500,1,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",275,0.000,53,32,24,0.19,0.40,275,0.000,53,32,24,0.19,0.40,40,0.000,8,4,3,0.20,0.38,139,0.000,23,20,19,0.17,0.45,0,0.000,0,0,0,"",,0,,0.000,"N","2019-20",23,3.65,0.35,24,0.33,3.50
"OP",05/02/2020,4,"",118,"Uncle Addouma","D","N","c",2017,3,"Ky","Buck Pond Farm Inc.","Dk. b or br","Uncle Mo","Indian Charlie","Mims Eppi","Cactus Ridge","Andrew Warren, Rania Warren & Suzanne Wa","EASMAY",19,145.000,,"","l","",0.00,0,"Prat F","McCarthy Michael W",9,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,0.000,0,0,0,0,"",2,0.000,1,1,0,0.50,1.00,208,0.000,49,39,34,0.24,0.59,2,0.000,1,0,1,0.50,1.00,59,0.000,19,9,8,0.32,0.61,0,0.000,0,0,0,"",,0,,125.000,"N","2019-20",0,0.00,0.00,11,0.09,1.55
