"RCTrack","RCDate","RCRace","Horse","FD","Foreign","Date","Track","Race","Surface","TimeformCode","Inner","Distance","Class","LongClass","ClaimPrice","Purse","TrkCond","RaceSex","RaceAge","StateBred","Starters","FirstFraction","SecondFraction","ThirdFraction","FourthFraction","FifthFraction","SixthFraction","FinalTime","FirstHorse","SecondHorse","ThirdHorse","FirstWeight","SecondWeight","ThirdWeight","FirstLenAdj","SecondLenAdj","ThirdLenAdj","GradedRace","GradedRaceDesc","ForeignCourse","PostPosition","FirstCall","FirstCallLenAdj","SecondCall","SecondCallLenAdj","ThirdCall","ThirdCallLenAdj","FourthCall","FourthCallLenAdj","StrCall","StrCallLenAdj","FinalCall","FinalCallLenAdj","DQ","DH","DQPlace","Beyer","Weight","Apprentice","Comment","LongComment","Odds","OddsPosition","Claimed","Lasix","Bute","Blinker","Bandage","AltEquipment","Jockey","Trainer","Entries","TrackVariant","SpeedRating","Breed","Owner","DistUnit","TimeUnit","LoPrice","TrainYear","TrainStarts","TrainWins","TrainPlaces","TrainShows","TrainWinPct","SealedTrack","PrevTrainYear","PrevTrainStarts","PrevTrainWins","PrevTrainPlaces","PrevTrainShows","PrevTrainWinPct","FirstFracHdths","SecondFracHdths","ThirdFracHdths","FourthFracHdths","FifthFracHdths","SixthFracHdths","FinalTimeHdths"
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,04/26/2019,"RP",11,"D","","",3.50,"ALW","Alw 27600N2X",0.00,27.600,"fst","O","31","",11,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,17.61,"Jess B Glory","Medessy","Hot Dam Bam a Lam",126,126,129,0.25,0.10,0.05,0,"","H",8,8,0.00,0,17.67,0,0.00,6,0.30,4,0.20,3,0.35,"","",0,0,129,0,"Bold bid","",2.30,1,"","L","","B","","","Samaniego A R","Strickland Donnie L","",0,85,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,17.61
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,03/17/2019,"RP",9,"D","","",3.30,"ALW","Alw 31250N2X",0.00,31.250,"fst","O","31","",9,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,16.69,"Lynnder 16","Preyn Onthe Mountain","Hot Dam Bam a Lam",124,126,129,0.05,0.50,0.25,0,"","I",9,1,0.00,0,16.76,0,0.00,2,0.10,4,0.60,3,0.55,"","",0,0,129,0,"Sharp try outside","",4.20,2,"","L","","B","","","Samaniego A R","Strickland Donnie L","",0,91,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,16.69
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,10/13/2018,"PrM",7,"D","","",4.00,"DBY","ALTOONA DB123k",0.00,123.191,"fst","O","3","",10,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00,19.77,"Walcott","Tempting Annee Gl","First of 15",125,125,125,0.25,1.00,0.05,0,"","J",10,10,0.00,0,20.05,0,0.00,10,2.10,10,3.00,6,1.85,"","",0,0,127,0,"No factor","",6.50,5,"","L","T","B","","","Constantin L","Strickland Donnie L","",0,86,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00,19.77
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,09/28/2018,"PrM",8,"D","","",4.00,"DTR","Dtr 6000",0.00,6.000,"fst","O","3","",7,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,20.05,"Hot Dam Bam a Lam","High Valley Girl","Signs Corona",127,125,125,0.50,1.25,0.50,0,"","G",7,6,0.00,0,20.05,0,0.00,4,1.10,2,0.50,1,0.50,"","",0,0,127,0,"Rallied strongly","",1.70,2,"","L","T","B","","","Constantin L","Strickland Donnie L","",0,86,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,20.05
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,05/28/2018,"RP",11,"D","","",3.50,"STK","JCKBROOKST55k",0.00,55.000,"fst","O","3","R",10,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,17.52,"Ima China Rush","Weetonas Lafawn","Hot Dam Bam a Lam",124,125,127,0.10,0.10,0.10,0,"","A",1,9,0.00,0,17.53,0,0.00,8,0.35,6,0.85,3,0.10,"","",0,0,127,0,"Game third","",2.00,1,"","L","","B","","","Samaniego A R","Strickland Donnie L","",0,90,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,17.52
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,04/21/2018,"RP",11,"D","","",4.00,"DBY","RPOKBRDDBY317k",0.00,317.400,"sly","O","3","R",10,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00,19.28,"Df Aj Green Leaves","First of 15","Hot Dam Bam a Lam",124,124,126,1.25,0.10,0.25,0,"","G",7,1,0.00,0,19.49,0,0.00,2,0.50,3,1.10,3,1.35,"","",0,0,126,0,"Solid effort","",21.20,6,"","L","","B","","","Samaniego A R","Strickland Donnie L","",0,97,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"Y","",,,,,,-1.00,-2.00,-1.00,-1.00,-1.00,-1.00,19.28
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,04/08/2018,"RP",6,"D","","",4.00,"DTR","Dtr 15000",0.00,15.000,"fst","O","3","S",9,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.98,"Hot Dam Bam a Lam","One Jazz","A Jordon Reed",126,124,124,0.75,0.50,0.75,0,"","C",3,1,0.00,0,19.98,0,0.00,1,0.10,1,0.50,1,0.75,"","",0,0,126,0,"Brk out,bump,held sway","",1.60,1,"","L","","B","","","Samaniego A R","Strickland Donnie L","",0,85,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,19.98
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,03/15/2018,"RP",9,"D","","",3.00,"ALW","Alw 25400N2L",0.00,25.400,"fst","O","3","",10,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,15.56,"Hot Dam Bam a Lam","A Shade of Midnight","Senator Fast Jack",126,124,124,0.25,0.50,0.50,0,"","I",9,3,0.00,0,15.56,0,0.00,0,0.00,2,0.50,1,0.25,"","",0,0,126,0,"Good trip, up late","",2.80,2,"","L","","B","","","Samaniego A R","Strickland Donnie L","",0,86,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,2.00,-1.00,-1.00,-1.00,-1.00,15.56
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,11/11/2017,"WRD",5,"D","","",4.40,"FUT","BLKGLD440F-G",0.00,282.552,"fst","O","2","R",9,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,21.95,"Captain Force","Cloud Ridge","Hot Dam Bam a Lam",122,126,126,0.75,0.75,0.25,3,"","A",1,1,0.00,0,22.08,0,0.00,1,0.10,1,0.10,3,0.75,"","",0,0,126,0,"Caught at wire","",12.20,4,"","L","","B","F","","Gutierrez G","Strickland Donnie L","",0,78,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,21.95
"RP",05/02/2020,9,"Hot Dam Bam a Lam","DQ",,10/27/2017,"WRD",8,"D","","",4.40,"FTR","Ftr 5000",0.00,5.000,"fst","O","2","R",9,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,22.14,"Hot Dam Bam a Lam","Fast N Furious 123","Captain Force",126,122,122,0.25,0.25,1.00,0,"","E",5,1,0.00,0,22.14,0,0.00,1,0.10,1,0.10,1,0.25,"","",0,0,126,0,"Game winner","",4.30,3,"","L","","B","","","Gutierrez G","Strickland Donnie L","",0,77,"Q","","Y","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,1.00,-1.00,-1.00,-1.00,-1.00,22.14
