"RCTrack","RCDate","RCRace","Starters","TrackName","RaceState","Division","RaceBred","StateBred","RaceSex","RaceAge","Class","Purse","HiClaim","LoClaim","Distance","Inner","Surface","RaceType","GradedRace","GradedRaceDesc","SimTrack","SimRace","TrackRecord","DayOfWeek","PostTime","LongClass","TrkAbbrev","DistUnit","TimeUnit","Conditions"
"LA",05/02/2020,1,8,"Los Alamitos","CA","","","","O","31","MCL",7.000,3.500,3.500,4.500,"","D","",0,"","",0,49.20,"Saturday","6:00","Md 3500","Los Alamitos","","H","MAIDEN CLAIMING. Purse $7,000  FOR MAIDENS, THREE YEARS OLD  AND UPWARD. Three Year Olds, 120 lbs.; Older, 123 lbs. Claiming Price $3,500."
"LA",05/02/2020,2,6,"Los Alamitos","CA","","","","M","31","MCL",6.500,3.500,3.500,4.500,"","D","",0,"","",0,49.20,"Saturday","6:28","Md 3500","Los Alamitos","","H","MAIDEN CLAIMING. Purse $6,500  FOR MAIDENS, FILLIES AND MARES THREE YEARS OLD  AND UPWARD. Three Year Olds, 120 lbs.; Older, 123 lbs. Claiming Price $3,500."
"LA",05/02/2020,3,7,"Los Alamitos","CA","","","","O","31","CLM",11.500,5.000,5.000,4.500,"","D","",0,"","",0,49.20,"Saturday","6:56","Clm 5000","Los Alamitos","","H","CLAIMING. Purse $11,500  FOR THREE YEAR OLDS AND UPWARD. Three Year Olds, 120 lbs.; Older, 123 lbs. Non-winners of two races since March 2 Allowed 3 lbs. A race since then Allowed 5 lbs. Claiming Price $5,000 (Maiden Races and races for $4,000 or less not considered)."
"LA",05/02/2020,4,8,"Los Alamitos","CA","","M","","O","31","AN3L",15.000,0.000,0.000,10.000,"","D","",0,"","",0,-1.00,"Saturday","7:24","Alw 15000N3L","Los Alamitos","Y","H","ALLOWANCE. Purse $15,000  FOR THREE YEAR OLDS AND UPWARD WHICH HAVE NEVER WON THREE RACES. Three Year Olds, 122 lbs.; Older, 124 lbs. (Quarter Horses Preferred)."
"LA",05/02/2020,5,6,"Los Alamitos","CA","","Q","","O","3","MCL",6.660,6.250,6.250,3.000,"","D","",0,"","",0,-1.00,"Saturday","7:52","Md 6250","Los Alamitos","Y","H","MAIDEN CLAIMING. Purse $6,660  FOR MAIDENS, THREE YEARS OLD. Weight, 124 lbs. Claiming Price $6,250."
"LA",05/02/2020,6,7,"Los Alamitos","CA","","Q","","F","2","MDN",9.000,0.000,0.000,3.000,"","D","",0,"","",0,-1.00,"Saturday","8:20","Mdn 9000","Los Alamitos","Y","H","MAIDEN. Purse $9,000  FOR MAIDENS, FILLIES TWO YEARS OLD. Weight, 124 lbs."
"LA",05/02/2020,7,6,"Los Alamitos","CA","","Q","","O","3","CLM",10.070,16.000,16.000,3.000,"","D","",0,"","",0,-1.00,"Saturday","8:48","Clm 16000","Los Alamitos","Y","H","CLAIMING. Purse $10,070  FOR THREE YEAR OLDS. Weight, 124 lbs. Claiming Price $16,000."
"LA",05/02/2020,8,7,"Los Alamitos","CA","","Q","","O","2","MDN",9.000,0.000,0.000,3.000,"","D","",0,"","",0,-1.00,"Saturday","9:16","Mdn 9000","Los Alamitos","Y","H","MAIDEN. Purse $9,000  FOR MAIDENS, TWO YEARS OLD. Weight, 124 lbs."
"LA",05/02/2020,9,7,"Los Alamitos","CA","","Q","","O","31","HDS",35.000,0.000,0.000,3.500,"","D","",3,"","",0,-1.00,"Saturday","9:44","Hds 35000","Los Alamitos","Y","H","HANDICAP STAKES. Purse $35,000  THREE YEAR OLDS AND UPWARD."
