,tvgtrackcode,racedate,race,R_Starters,R_TrackName,bettinginterestnumber_x,horsename,B_Jockey,B_MLOdds,H_JockMeetWinPct,H_JockMeetMoneyPct,H_JockYTDWinPct,H_TrainerYTDWinPct,H_TrainerYTDMoneyPct,S_BestFastDirt,S_BestTurf,T_Trainer_1,T_WinPct_1,T_WinPct_2,T_WinPct_3,T_WinPct_4,T_WinPct_5,HR_Beyer_1,HR_Beyer_2,HR_Beyer_3,HR_Beyer_4,HR_Beyer_5,bettinginterestnumber_y,morninglineodds,currentodds,winpayout,Winner?
0,cd,5/25/20,1,16,Churchill Downs,4,strikeitortapit,Diaz C A,20-1,0,0,0.05,0.12,0.27,0,0,Short Thomas,0,0.1,0.13,0.11,0.03,,,,,,,,,0,0
1,cd,5/25/20,1,16,Churchill Downs,1,punctuation,Talamo J,1-Jun,0.03,0.26,0.15,0.13,0.29,0,0,Lauer Michael E,0,0.09,0.11,0.12,0.1,,,,,,,,,0,0
2,cd,5/25/20,1,16,Churchill Downs,5,jamin's jet,Ouzts P W,15-1,0,0,0,0.03,0.24,0,0,Haehn Terry R,0,0,0.03,0.03,0,,,,,,,,,0,0
3,cd,5/25/20,1,16,Churchill Downs,6,albizu,Ramos J D,15-1,0,0.18,0.13,0.08,0.28,0,0,Ennis John,0.04,0,0.04,0.07,0.03,,,,,,,,,0,0
4,cd,5/25/20,1,16,Churchill Downs,2,little empire,Gomez A,20-1,0,0,0,0,0.25,0,0,Gorostieta Cirilo,0.11,0.06,0.06,0.07,0.06,,,,,,,,,0,0
5,cd,5/25/20,1,16,Churchill Downs,7,tourrista,McKee J,1-Aug,0.08,0.08,0.11,0.06,0.19,0,0,Chapman James K,0,0.16,0.19,0.19,0.15,,,,,,,,,0,0
6,cd,5/25/20,1,16,Churchill Downs,8,full velocity,Murrill M,1-Mar,0.12,0.12,0.14,0.24,0.47,0,0,Calhoun William Bret,0.14,0.19,0.23,0.21,0.29,,,,,,,,,0,0
7,cd,5/25/20,1,16,Churchill Downs,9,mr. pickles,Mena M,1-May,0.06,0.19,0.1,0.13,0.5,0,0,Lyster Stephen S,0.1,0.13,0.21,0.15,0.38,,,,,,,,,0,0
8,cd,5/25/20,1,16,Churchill Downs,3,the beat,Lanerie C J,1-Apr,0.1,0.31,0.14,0,0.23,0,0,Kobiskie Dane,0.1,0.17,0.13,0.19,0.12,,,,,,3,4,2-Sep,11.6,1
9,cd,5/25/20,1,16,Churchill Downs,10,innis,Cohen D,1-Oct,0.27,0.27,0.15,0.06,0.19,0,0,Chapman James K,0,0.16,0.19,0.19,0.15,,,,,,,,,0,0
10,cd,5/25/20,1,16,Churchill Downs,11,call papa,Jimenez A,15-1,0.11,0.22,0.22,0.18,0.45,0,0,Hubley Mark,0,0,0.19,0.15,0.2,,,,,,,,,0,0
11,cd,5/25/20,1,16,Churchill Downs,12,el piquin,Kellenberger K,1-Dec,0,0.11,0.07,0,0,0,0,Calvo Kelsie,0,0,0,0,0,,,,,,,,,0,0
12,cd,5/25/20,1,16,Churchill Downs,13,ruby round here,Ramos J D,15-1,0,0.18,0.13,0.14,0.43,0,0,Holsapple Hutch,0.25,0.2,0.12,0.3,,,,,,,,,,0,0
13,cd,5/25/20,1,16,Churchill Downs,1A,tap the town,Talamo J,1-Jun,0.03,0.26,0.15,0.13,0.29,0,0,Lauer Michael E,0,0.09,0.11,0.12,0.1,,,,,,,,,0,0
14,cd,5/25/20,1,16,Churchill Downs,3C,highest mandate,Conning C,1-Apr,0,0,0.03,0,0.23,0,0,Kobiskie Dane,0.1,0.17,0.13,0.19,0.12,,,,,,,,,0,0
15,cd,5/25/20,1,16,Churchill Downs,2B,miss magdalena,Gomez A,20-1,0,0,0,0,0.25,0,0,Gorostieta Cirilo,0.11,0.06,0.06,0.07,0.06,,,,,,,,,0,0
16,cd,5/25/20,2,7,Churchill Downs,1,turtle trax,Leparoux J R,1-Jun,0.07,0.28,0.11,0.11,0.34,74,0,Wilkes Ian R,0.1,0.24,0.14,0.13,0.15,68,74,65,74,67,,,,0,0
17,cd,5/25/20,2,7,Churchill Downs,2,lady glamour,Burke J,1-Aug,0,0,0.07,0.13,0.63,73,0,Demeritte Larry,0.25,0.15,0.19,0.14,0.14,11,59,70,72,0,,,,0,0
18,cd,5/25/20,2,7,Churchill Downs,3,rising seas,Lanerie C J,1-Oct,0.1,0.31,0.14,0.13,0.42,69,0,Colebrook Ben,0.13,0.13,0.13,0.16,,61,46,71,69,54,,,,0,0
19,cd,5/25/20,2,7,Churchill Downs,4,frank's rockette,Garcia M,5-Jun,0.15,0.25,0.19,0.14,0.41,98,0,Mott William I,0.16,0.2,0.16,0.2,,83,98,82,69,69,4,5-Jun,5-Feb,2.8,1
20,cd,5/25/20,2,7,Churchill Downs,5,anna's fast,Corrales G,1-Aug,0.29,0.71,0.24,0.25,0.62,70,0,Ward Wesley A,0.2,0.29,0.27,0.25,,43,70,61,0,,,,,0,0
21,cd,5/25/20,2,7,Churchill Downs,6,project whiskey,Gaffalione T,15-1,0.13,0.37,0.18,0.04,0.28,70,0,Reid Robert E Jr,0.06,0.15,0.16,0.12,,55,70,49,47,53,,,,0,0
22,cd,5/25/20,2,7,Churchill Downs,7,specially,Geroux F,1-Feb,0.23,0.32,0.19,0.13,0.42,82,0,Casse Mark,0.13,0.17,0.17,0.18,,74,88,45,82,,,,,0,0
23,cd,5/25/20,3,8,Churchill Downs,1,malpais,Garcia M,1-Aug,0.15,0.25,0.19,0.16,0.43,96,38,Sharp Joe,0.2,0.15,0.16,0.19,0.18,70,38,63,77,87,,,,0,0
24,cd,5/25/20,3,8,Churchill Downs,2,do share,Leparoux J R,2-Jul,0.07,0.28,0.11,0.09,0.43,105,89,Casse Norm W,0.23,0.09,0.24,0.2,0.22,77,88,93,94,94,,,,0,0
25,cd,5/25/20,3,8,Churchill Downs,3,c z rocket,Lopez P,1-Mar,0,0.43,0.18,0.2,0.46,104,0,Miller Peter,0.3,0.22,0.22,0.22,,72,73,82,61,104,3,3,2,6.6,1
26,cd,5/25/20,3,8,Churchill Downs,4,petrov,Talamo J,1-Aug,0.03,0.26,0.15,0.2,0.45,99,0,Moquett Ronald E,0.15,0.15,0.14,,,76,64,68,71,71,,,,0,0
27,cd,5/25/20,3,8,Churchill Downs,5,colonel klink,Graham J,1-Oct,0.16,0.37,0.17,0,0,82,0,Rainwater Bradlee,0.2,0.22,0.21,0.24,0.14,998,82,78,81,66,,,,0,0
28,cd,5/25/20,3,8,Churchill Downs,6,bye bye birdstone,Bejarano R,1-Oct,0.2,0.2,0.11,0.2,0.41,88,79,Foley Gregory D,0.13,0.05,0.06,0.16,0.16,79,72,88,68,65,,,,0,0
29,cd,5/25/20,3,8,Churchill Downs,7,hollis,Lanerie C J,1-Apr,0.1,0.31,0.14,0,0.23,86,72,Kobiskie Dane,0.13,0.13,0.19,0.13,,86,80,72,72,78,,,,0,0
30,cd,5/25/20,3,8,Churchill Downs,8,nero,Santana R Jr,2-Sep,0.16,0.44,0.19,0.18,0.47,95,0,Asmussen Steven M,0.2,0.2,0.2,,,71,82,88,87,91,,,,0,0
31,cd,5/25/20,4,15,Churchill Downs,1,direct approach,Rocco J S Jr,1-Dec,0,0,0.1,0.12,0.26,60,73,Tomlinson Michael A,0.13,0.12,0.14,0.07,0.17,64,70,73,72,49,,,,0,0
32,cd,5/25/20,4,15,Churchill Downs,2,new year's luck,Court J K,30-1,0.09,0.18,0.02,0.03,0.13,69,59,Fires William H,0.1,0.07,0.09,0.06,,43,55,45,59,59,,,,0,0
33,cd,5/25/20,4,15,Churchill Downs,3,metropol,Geroux F,2-Jul,0.23,0.32,0.19,0.25,0.57,75,0,Cox Brad H,0.27,0.25,0.26,0.28,,61,65,71,75,,,,,0,0
34,cd,5/25/20,4,15,Churchill Downs,4,waverunner,Carroll D,15-1,0,0.33,0.12,0.2,0.45,64,41,Moquett Ronald E,0.11,0.15,0.14,0.14,,64,63,60,41,37,,,,0,0
35,cd,5/25/20,4,15,Churchill Downs,5,my interest,Lopez P,1-Aug,0,0.43,0.18,0.1,0.4,72,63,Sancal Murat,0.17,0.12,0.12,0.13,,46,63,72,60,61,,,,0,0
36,cd,5/25/20,4,15,Churchill Downs,6,glorious weekend,Radosevich J,1-Aug,0,0,0,0.13,0.63,63,62,Demeritte Larry,0.1,0.15,0.07,0.14,,58,38,998,63,55,,,,0,0
37,cd,5/25/20,4,15,Churchill Downs,7,road game,Lanerie C J,2-Jul,0.1,0.31,0.14,0.14,0.43,73,72,Hartman Chris A,0.09,0.13,0.15,0.16,0.16,73,55,69,61,50,7,2-Jul,3,8.2,1
38,cd,5/25/20,4,15,Churchill Downs,8,smart and broke,Bejarano R,20-1,0.2,0.2,0.11,0,0,71,54,Green Troy,0,0.04,0.03,0,,71,38,23,48,48,,,,0,0
39,cd,5/25/20,4,15,Churchill Downs,9,she love me,Landeros C,1-Aug,0.1,0.1,0.07,0.18,0.44,68,0,Hough Stanley M,0.22,0.24,0.17,0.13,,61,60,60,59,68,,,,0,0
40,cd,5/25/20,4,15,Churchill Downs,10,wings up,Mena M,30-1,0.06,0.19,0.1,0.07,0.25,72,63,Morse Randy L,0.06,0.07,0.06,0.06,,59,53,32,52,47,,,,0,0
41,cd,5/25/20,4,15,Churchill Downs,11,tidal effect,Corrales G,1-Oct,0.29,0.71,0.24,0.22,0.59,78,72,Morey William E,0.17,0.23,0.24,0.2,,50,53,54,52,60,,,,0,0
42,cd,5/25/20,4,15,Churchill Downs,12,eskendereyas dream,Talamo J,1-Apr,0.03,0.26,0.15,0.21,0.55,75,62,Amoss Thomas,0.2,0.23,0.18,0.22,,75,62,47,54,62,,,,0,0
43,cd,5/25/20,4,15,Churchill Downs,13,run this town,De Leon A,15-1,0,0,0.11,0.07,0.27,68,35,West Ethan W,0.08,0.15,0.14,0.13,,47,41,42,68,44,,,,0,0
44,cd,5/25/20,4,15,Churchill Downs,14,baquero flies,Court J K,15-1,0.09,0.18,0.02,0.09,0.33,54,0,Lukas D Wayne,0.09,0.09,0.07,0.17,,30,50,48,51,54,,,,0,0
45,cd,5/25/20,4,15,Churchill Downs,15,he's the souperwon,Bejarano R,15-1,0.2,0.2,0.11,0.2,0.41,66,61,Foley Gregory D,0.12,0.2,0.16,0.14,0.16,37,61,56,53,61,,,,0,0
46,cd,5/25/20,5,9,Churchill Downs,1,conquest lemonraid,Hernandez B J Jr,1-Oct,0.07,0.41,0.19,0.18,0.48,95,90,Kenneally Eddie,0.3,0.19,0.1,0.17,0.17,80,77,79,78,78,,,,0,0
47,cd,5/25/20,5,9,Churchill Downs,2,croatian,Mena M,1-Dec,0.06,0.19,0.1,0.08,0.27,91,57,Hawley Wesley,0.09,0.1,0.04,0.06,,77,73,79,75,88,2,12,15,33,1
48,cd,5/25/20,5,9,Churchill Downs,3,kurilov,Geroux F,1-Mar,0.23,0.32,0.19,0.25,0.57,94,102,Cox Brad H,0.27,0.25,0.26,0.28,,82,84,84,83,76,,,,0,0
49,cd,5/25/20,5,9,Churchill Downs,4,gigging,Santana R Jr,2-Jul,0.16,0.44,0.19,0.14,0.43,86,62,Hartman Chris A,0.13,0.15,0.16,0.16,,86,79,78,71,79,,,,0,0
50,cd,5/25/20,5,9,Churchill Downs,5,colonelsdarktemper,Court J K,1-Dec,0.09,0.18,0.02,0.03,0.13,95,88,Fires William H,0.07,0.09,0.06,,,80,75,74,75,91,,,,0,0
51,cd,5/25/20,5,9,Churchill Downs,6,street to indy,Cohen D,2-May,0.27,0.27,0.15,0.23,0.51,93,75,Diodoro Robertino,0.26,0.25,0.25,0.25,,91,0,87,93,41,,,,0,0
52,cd,5/25/20,5,9,Churchill Downs,7,shortlist,Gaffalione T,1-Apr,0.13,0.37,0.18,0.17,0.52,86,83,Sadler John W,0.23,0.21,0.24,,,86,69,72,82,75,,,,0,0
53,cd,5/25/20,5,9,Churchill Downs,8,exemplar,Lanerie C J,15-1,0.1,0.31,0.14,0.02,0.14,89,79,Vance David R,0.11,0.12,0.13,,,77,77,66,78,76,,,,0,0
54,cd,5/25/20,5,9,Churchill Downs,9,chief oakie dokie,Leparoux J R,20-1,0.07,0.28,0.11,0,0,92,85,Coontz Arthur A,0,0.09,0,0,,75,56,71,83,92,,,,0,0
55,cd,5/25/20,6,10,Churchill Downs,1,coldwater,Lanerie C J,1-Feb,0.1,0.31,0.14,0.1,0.3,71,78,Correas Ignacio IV,0.04,0.16,0.05,0.12,0.09,71,63,78,67,63,,,,0,0
56,cd,5/25/20,6,10,Churchill Downs,2,be with us,Beschizza A,20-1,0,0.33,0.14,0.15,0.35,54,0,McEntee Paul,0.18,0,0,0.12,0,54,46,38,31,31,,,,0,0
57,cd,5/25/20,6,10,Churchill Downs,3,resurrection road,Leon S,15-1,0,0.17,0.1,0.11,0.39,68,61,Reed Eric R,0.12,0.06,0.24,0.05,0.17,41,64,62,50,45,,,,0,0
58,cd,5/25/20,6,10,Churchill Downs,4,evil lyn,Bridgmohan S X,5-Aug,0,0.2,0.21,0.25,0.57,63,75,Cox Brad H,0.3,0.27,0.24,0.26,0.28,63,74,75,30,65,4,5-Aug,5-Apr,3.8,1
59,cd,5/25/20,6,10,Churchill Downs,5,drinkatthecreek,Bejarano R,20-1,0.2,0.2,0.11,0.13,0.29,70,62,Lauer Michael E,0.08,0.11,0.08,0.08,0.09,46,43,17,62,67,,,,0,0
60,cd,5/25/20,6,10,Churchill Downs,6,spinning top,Morales E,20-1,0.2,0.4,0.1,0,0,33,69,Green Troy,0,0,0,0.03,0,25,60,42,69,44,,,,0,0
61,cd,5/25/20,6,10,Churchill Downs,7,cirrusly,Geroux F,2-Jul,0.23,0.32,0.19,0.2,0.41,62,71,Foley Gregory D,0.17,0.14,0.14,0.16,,71,71,60,65,15,,,,0,0
62,cd,5/25/20,6,10,Churchill Downs,8,tuxedo lemon,Parker D L,15-1,0,0,0.23,0.18,0.45,59,0,Hubley Mark,0,0,0.14,0.07,0.18,54,61,52,54,59,,,,0,0
63,cd,5/25/20,6,10,Churchill Downs,9,twelve monarchs,Ramos J D,20-1,0,0.18,0.13,0.43,0.57,57,62,Salas Felipe,0,0,1,0,0.11,51,52,57,44,44,,,,0,0
64,cd,5/25/20,6,10,Churchill Downs,10,stylish kitten,Cohen D,1-Dec,0.27,0.27,0.15,0,0.33,66,0,Foster Eric,0.17,0.33,0.2,0.17,0,52,66,44,,,,,,0,0
65,cd,5/25/20,7,15,Churchill Downs,1,quality too spare,Spanabel S,50-1,0,0,0,0,0.18,56,48,Spanabel Kelly R,0,0,0,0,,29,45,44,50,45,,,,0,0
66,cd,5/25/20,7,15,Churchill Downs,2,union maiden,Castellano J J,2-Jul,0,0.38,0.13,0.24,0.59,63,0,Brown Chad C,0.26,0.35,0.27,0.26,0.27,63,,,,,,,,0,0
67,cd,5/25/20,7,15,Churchill Downs,3,magic motion,Gaffalione T,1-Dec,0.13,0.37,0.18,0.14,0.41,47,0,Mott William I,0.1,0.15,0.2,0.16,0.15,47,,,,,,,,0,0
68,cd,5/25/20,7,15,Churchill Downs,4,market rumor,Landeros C,1-Jun,0.1,0.1,0.07,0.11,0.34,53,0,Wilkes Ian R,0.14,0.13,0.1,,,63,53,,,,,,,0,0
69,cd,5/25/20,7,15,Churchill Downs,5,wild love,Santana R Jr,1-Dec,0.16,0.44,0.19,0.18,0.47,0,43,Asmussen Steven M,0.21,0.23,0.2,0.18,0.2,43,,,,,,,,0,0
70,cd,5/25/20,7,15,Churchill Downs,6,claudette nonstop,Jimenez A,1-Dec,0.11,0.22,0.22,0.13,0.5,65,31,Lyster Stephen S,0.2,0.21,0.15,0.04,,65,48,30,31,31,,,,0,0
71,cd,5/25/20,7,15,Churchill Downs,7,kinda lucky,Ortiz J L,1-May,0.13,0.41,0.16,0.25,0.57,0,0,Cox Brad H,0.16,0.4,0.25,0.24,0.24,,,,,,,,,0,0
72,cd,5/25/20,7,15,Churchill Downs,8,stripping,Geroux F,1-May,0.23,0.32,0.19,0.25,0.57,0,0,Cox Brad H,0.16,0.4,0.25,0.24,0.24,,,,,,,,,0,0
73,cd,5/25/20,7,15,Churchill Downs,9,raison d'etre,Leparoux J R,1-Jun,0.07,0.28,0.11,0.13,0.42,0,0,Casse Mark,0.17,0.18,0.17,0.17,0.17,,,,,,,,,0,0
74,cd,5/25/20,7,15,Churchill Downs,10,ship's creek,Lanerie C J,1-Dec,0.1,0.31,0.14,0.13,0.42,0,0,Colebrook Ben,0.06,0.13,0.13,0.1,,,,,,,,,,0,0
75,cd,5/25/20,7,15,Churchill Downs,11,ocean breeze,Garcia M,1-Jun,0.15,0.25,0.19,0.1,0.42,0,0,Catalano Wayne M,0.09,0.1,0.11,0.09,0.05,66,,,,,11,6,5-Sep,5.6,1
76,cd,5/25/20,7,15,Churchill Downs,12,moratta,Rocco J S Jr,30-1,0,0,0.1,0.2,0.6,0,0,Castillo Richard E,0.14,0.22,1,,,,,,,,,,,0,0
77,cd,5/25/20,7,15,Churchill Downs,13,free cause,Talamo J,15-1,0.03,0.26,0.15,0.1,0.33,0,0,Romans Dale,0.05,0,0.12,0.13,0.06,,,,,,,,,0,0
78,cd,5/25/20,7,15,Churchill Downs,14,curls and bows,Lanerie C J,15-1,0.1,0.31,0.14,0.14,0.35,55,0,McPeek Kenneth G,0.1,0.05,0.13,0.1,0.12,38,55,60,43,,,,,0,0
79,cd,5/25/20,7,15,Churchill Downs,15,simply beguiled,Hernandez B J Jr,15-1,0.07,0.41,0.19,0.1,0.36,0,0,Stewart Dallas,0.06,0,0.11,0.09,0.1,,,,,,,,,0,0
80,cd,5/25/20,8,8,Churchill Downs,1,by your side,Lanerie C J,1-May,0.1,0.31,0.14,0.18,0.48,74,0,Kenneally Eddie,0.19,0.14,0.17,0.19,0.19,66,67,74,70,,,,,0,0
81,cd,5/25/20,8,8,Churchill Downs,2,relentless dancer,Geroux F,1-May,0.23,0.32,0.19,0.2,0.48,88,65,Maker Michael J,0.19,0.17,0.16,0.22,0.19,79,88,70,82,82,,,,0,0
82,cd,5/25/20,8,8,Churchill Downs,3,echo town,Santana R Jr,5-Sep,0.16,0.44,0.19,0.18,0.47,97,0,Asmussen Steven M,0.2,0.2,0.17,,,97,90,83,92,,3,5-Sep,5-Apr,3.8,1
83,cd,5/25/20,8,8,Churchill Downs,4,hop kat,Gaffalione T,1-Aug,0.13,0.37,0.18,0.18,0.48,79,0,Kenneally Eddie,0.18,0.21,0.17,0.19,0.19,79,79,,,,,,,0,0
84,cd,5/25/20,8,8,Churchill Downs,5,digital,Hernandez B J Jr,1-Jun,0.07,0.41,0.19,0.24,0.47,92,0,Calhoun William Bret,0.2,0.25,0.24,0.23,0.21,65,83,92,78,72,,,,0,0
85,cd,5/25/20,8,8,Churchill Downs,6,johnny ritt,Castellano J J,20-1,0,0.38,0.13,0.04,0.28,74,0,Reid Robert E Jr,0.06,0.15,0.16,0.12,,74,79,59,30,46,,,,0,0
86,cd,5/25/20,8,8,Churchill Downs,7,little menace,Baze T C,1-Oct,0.17,0.42,0.1,0.18,0.47,84,0,Asmussen Steven M,0.2,0.2,0.17,,,84,84,84,81,73,,,,0,0
87,cd,5/25/20,8,8,Churchill Downs,8,meru,Ortiz J L,2-Jul,0.13,0.41,0.16,0.13,0.38,95,0,Duarte Jorge Jr,0.1,0.14,0.21,0.18,0.13,82,95,81,,,,,,0,0
88,cd,5/25/20,9,20,Churchill Downs,1,hierarchy,Graham J,1-Oct,0.16,0.37,0.17,0.16,0.43,0,90,Sharp Joe,0.08,0.15,0.12,0.17,,79,85,85,84,85,,,,0,0
89,cd,5/25/20,9,20,Churchill Downs,2,kulik bear,Bridgmohan S X,1-May,0,0.2,0.21,0.13,0.42,74,93,Casse Mark,0.13,0.14,0.15,0.16,0.18,93,84,81,74,84,,,,0,0
90,cd,5/25/20,9,20,Churchill Downs,3,king cause,Lopez P,1-May,0,0.43,0.18,0.1,0.5,78,92,Magner Dermot,0.18,0.02,0.11,0.07,0.03,92,76,65,79,68,,,,0,0
91,cd,5/25/20,9,20,Churchill Downs,4,lost in limbo,Talamo J,15-1,0.03,0.26,0.15,0.13,0.31,77,85,Proctor Thomas F,0,0.15,0.14,0.15,0.13,71,79,85,78,72,,,,0,0
92,cd,5/25/20,9,20,Churchill Downs,5,limonite,Santana R Jr,1-Oct,0.16,0.44,0.19,0.18,0.47,79,86,Asmussen Steven M,0.21,0.15,0.19,0.16,0.18,90,79,86,75,86,,,,0,0
93,cd,5/25/20,9,20,Churchill Downs,6,federal law,Carroll D,1-Dec,0,0.33,0.12,0.13,0.42,79,44,Casse Mark,0.14,0.12,0.15,0.16,0.17,72,68,73,75,31,,,,0,0
94,cd,5/25/20,9,20,Churchill Downs,7,morocco,Ortiz J L,1-Aug,0.13,0.41,0.16,0.2,0.48,78,88,Maker Michael J,0.15,0.16,0.17,0.14,,88,86,85,83,85,,,,0,0
95,cd,5/25/20,9,20,Churchill Downs,8,evil eye,Bermudez S E,50-1,0,0,0.14,0.17,0.5,75,72,Cahill Steven F,0,0.14,0.21,0.14,1,75,53,71,51,71,,,,0,0
96,cd,5/25/20,9,20,Churchill Downs,9,award winner,Leparoux J R,2-Sep,0.07,0.28,0.11,0.14,0.39,78,90,Lynch Brian A,0.17,0.15,0.17,0.19,,89,85,90,86,84,,,,0,0
97,cd,5/25/20,9,20,Churchill Downs,10,markitoff,Hernandez B J Jr,1-Jun,0.07,0.41,0.19,0.18,0.48,0,101,Kenneally Eddie,0.19,0.18,0.2,0.17,0.19,74,90,96,101,95,,,,0,0
98,cd,5/25/20,9,20,Churchill Downs,11,my bariley,Sanjur S,15-1,0,0.2,0.1,0.21,0.44,0,96,Granitz Anthony J,0.23,0.18,0.19,0.19,0.19,88,80,89,92,86,,,,0,0
99,cd,5/25/20,9,20,Churchill Downs,12,ramsey solution,Gaffalione T,1-Jun,0.13,0.37,0.18,0.25,0.62,91,87,Ward Wesley A,0.2,0.26,0.19,0.16,0.25,91,78,87,62,,12,6,2-Jul,9.6,1
100,cd,5/25/20,9,20,Churchill Downs,13,set piece,Geroux F,1-May,0.23,0.32,0.19,0.25,0.57,0,0,Cox Brad H,0.4,0.23,0.15,0.4,0.3,117,99,70,104,82,,,,5.8,1
101,cd,5/25/20,9,20,Churchill Downs,14,bundibunan,Lanerie C J,1-Oct,0.1,0.31,0.14,0.1,0.3,73,87,Correas Ignacio IV,0.05,0.09,0.09,0.07,,87,84,87,80,86,,,,0,0
102,cd,5/25/20,9,20,Churchill Downs,15,tribhuvan,Ortiz J L,1-Apr,0.13,0.41,0.16,0.24,0.59,0,90,Brown Chad C,0.3,0.26,0.27,0.21,,90,91,85,72,88,,,,0,0
103,cd,5/25/20,9,20,Churchill Downs,16,opry,Castellano J J,1-May,0,0.38,0.13,0.19,0.54,0,91,Pletcher Todd A,0.21,0.22,0.18,0.21,0.25,91,89,90,66,71,,,,0,0
104,cd,5/25/20,9,20,Churchill Downs,17,tiz mischief,Talamo J,1-Aug,0.03,0.26,0.15,0.1,0.33,92,36,Romans Dale,0.15,0.08,0.12,0.1,0.14,84,67,77,43,83,,,,0,0
105,cd,5/25/20,9,20,Churchill Downs,18,lone rock,Santana R Jr,1-Mar,0.16,0.44,0.19,0.23,0.38,95,64,VanMeter William B,0.14,0.08,0.22,0.05,,77,73,92,91,91,,,,0,0
106,cd,5/25/20,9,20,Churchill Downs,19,kaziranga,Mena M,1-May,0.06,0.19,0.1,0.24,0.55,78,81,Shirer Matt A,0.13,0,0.26,0.23,0.22,78,87,76,69,78,,,,0,0
107,cd,5/25/20,9,20,Churchill Downs,20,seek the peak,Gaffalione T,1-Apr,0.13,0.37,0.18,0.16,0.38,84,69,Walsh Brendan P,0.19,0.17,0.13,0.11,,82,84,79,70,76,,,,0,0
108,cd,5/25/20,10,11,Churchill Downs,1,beemie award,Mena M,20-1,0.06,0.19,0.1,0.07,0.15,84,0,Cox John E,0.14,0.15,0.21,0.11,,65,56,65,54,53,,,,0,0
109,cd,5/25/20,10,11,Churchill Downs,2,bump bailey,Lopez P,1-Mar,0,0.43,0.18,0.2,0.46,78,77,Miller Peter,0.2,0.21,0.22,0.22,0.22,74,75,74,72,72,,,,0,0
110,cd,5/25/20,10,11,Churchill Downs,3,johnny cab,Hernandez B J Jr,1-May,0.07,0.41,0.19,0.16,0.43,76,31,Sharp Joe,0.13,0.08,0.22,0.16,0.19,57,66,68,45,63,,,,0,0
111,cd,5/25/20,10,11,Churchill Downs,4,impunity,Davis D,2-Jul,0,0,0.12,0.21,0.53,77,55,Noda Orlando,0,0.2,0.19,0.2,,77,77,58,74,66,,,,0,0
112,cd,5/25/20,10,11,Churchill Downs,5,our philly special,Murrill M,1-Dec,0.12,0.12,0.14,0.21,0.5,76,67,Stidham Michael,0.22,0.25,0.18,0.21,0.25,56,48,67,70,63,,,,0,0
113,cd,5/25/20,10,11,Churchill Downs,6,giant honor,Franklin M,1-Oct,0,0.2,0.11,0.25,0.33,81,74,Huffman Pat,0.25,0.17,0.2,0.19,0.13,63,81,60,71,73,,,,0,0
114,cd,5/25/20,10,11,Churchill Downs,7,cadron flats,Beschizza A,30-1,0,0.33,0.14,0.13,0.29,73,0,Lauer Michael E,0.11,0.11,0.12,0.09,,68,51,38,37,27,,,,0,0
115,cd,5/25/20,10,11,Churchill Downs,8,aggressivity,Santana R Jr,2-Jul,0.16,0.44,0.19,0.18,0.47,79,0,Asmussen Steven M,0.2,0.2,0.2,,,71,79,62,74,71,,,,0,0
116,cd,5/25/20,10,11,Churchill Downs,9,mine my time,Saez G,1-Oct,0,0.14,0.13,0.2,0.41,77,67,Foley Gregory D,0.17,0.05,0.16,0.16,0.16,67,71,65,67,72,,,,0,0
117,cd,5/25/20,10,11,Churchill Downs,10,girlolamo'glory,Orm C,20-1,0,0.17,0.06,0.13,0.38,56,0,Lynch Harry E,0,0.13,0.1,0.1,0.09,64,54,56,45,47,10,20,40,83.2,1
118,cd,5/25/20,10,11,Churchill Downs,11,swither's shortcut,Talamo J,1-Dec,0.03,0.26,0.15,0.21,0.55,77,64,Amoss Thomas,0.21,0.21,0.2,0.23,0.25,61,62,77,66,63,,,,0,0
119,cd,5/28/20,1,8,Churchill Downs,1,fever temple,De La Cruz F,15-1,0,0,0.08,0,0.2,60,63,Steele Brandi,0,0.14,0.17,0.11,,55,60,61,55,60,,,,0,0
120,cd,5/28/20,1,8,Churchill Downs,2,hail to the chief,Corrales G,1-May,0.22,0.78,0.24,0.25,0.63,60,0,Ward Wesley A,0.24,0.29,0.17,0.19,,64,41,60,63,54,2,5,6,14.6,1
121,cd,5/28/20,1,8,Churchill Downs,3,comedian,Santana R Jr,1-Mar,0.16,0.42,0.19,0.18,0.47,83,0,Asmussen Steven M,0.19,0.2,0.18,0.2,,78,78,69,81,72,,,,0,0
122,cd,5/28/20,1,8,Churchill Downs,4,cigar box,Cohen D,1-Oct,0.21,0.21,0.15,0.1,0.33,65,0,Romans Dale,0.08,0.13,0.12,0.1,0.12,54,65,27,48,45,,,,0,0
123,cd,5/28/20,1,8,Churchill Downs,5,soul beam,Bridgmohan S X,1-Aug,0.17,0.33,0.22,0.24,0.55,76,85,Shirer Matt A,0.13,0.28,0.2,0.3,0.26,72,73,78,80,76,,,,0,0
124,cd,5/28/20,1,8,Churchill Downs,6,and seek,Talamo J,1-Mar,0.03,0.23,0.15,0.1,0.33,80,51,Romans Dale,0.1,0.08,0.12,0.1,0.12,80,73,79,78,78,,,,0,0
125,cd,5/28/20,1,8,Churchill Downs,7,just like richie,Leon S,20-1,0,0.23,0.1,0.08,0.08,73,68,Guerrero Sal,0,0.14,0.05,0.03,0.08,35,998,57,63,39,,,,0,0
