Date,Horse Name,Horse Weight,Horse Age,Days Off,Number of Wins,Power Rating,Average Class Rating,Average Speed,Current Odds,Won Actual,Won SVM,Won XGBoost,Won Naive-Bayes
2020-06-19,club car,123,4,25,1,92.5,87,83,2.0,1,0,0,0
2020-06-19,summer in saratoga,124,4,126,1,93.7,89,84,6.0,1,0,0,0
2020-06-20,embellisher,124,4,135,0,65.0,91,76,4.0,1,0,0,0
2020-06-20,darren's fortune,124,4,21,1,82.7,83,74,6.0,1,0,0,0
2020-06-20,moon over miami,118,3,15,0,74.4,95,79,5.0,1,0,0,0
2020-06-20,diamond crazy,123,4,19,4,80.7,88,80,1.8,1,0,0,0
2020-06-20,field pass,118,3,27,2,98.9,93,85,1.5,1,0,0,0
2020-06-20,uncle gregory,123,4,34,1,70.0,79,64,25.0,1,0,0,0
2020-06-20,factor this,122,5,90,7,111.9,108,102,1.0,1,0,0,1
2020-06-20,big dreaming,118,3,44,0,90.6,87,87,1.0,1,0,0,0
2020-06-21,cool bobby,124,5,49,0,83.4,104,96,3.5,1,0,0,0
2020-06-21,knights key,118,7,35,1,82.1,103,83,6.0,1,0,0,0
2020-06-21,seeds of time,118,5,65,4,83.6,89,81,1.8,1,0,0,0
2020-06-21,dreamalildreamofu,118,3,22,1,84.3,90,85,0.4,1,0,0,0
2020-06-21,atmos,123,5,99,1,69.2,72,65,18.0,1,0,0,0
2020-06-21,c z rocket,121,6,26,4,95.0,108,92,1.2,1,0,0,0
2020-06-21,coastal defense,125,4,63,0,84.3,95,86,6.0,1,0,0,0
2020-06-25,magine,118,3,62,3,82.8,71,66,1.0,1,0,0,0
2020-06-25,dutch treat,118,5,39,0,59.1,88,74,13.0,1,0,0,0
2020-06-25,galindo,124,4,12,1,88.7,94,83,2.0,1,0,0,0
2020-06-25,digital star,118,3,25,0,78.0,84,75,2.5,1,0,0,0
2020-06-25,originator,124,5,25,0,68.2,98,86,5.0,1,0,0,0
2020-06-25,figure it out,122,4,24,4,84.2,90,82,2.0,1,0,0,0
2020-06-25,absolutely aiden,121,4,26,5,97.8,99,89,3.5,1,0,0,1
2020-06-25,flabbergasted,118,3,38,0,80.1,83,77,1.8,1,0,0,0
2020-06-26,hold me black,118,6,39,5,88.1,101,88,4.0,1,0,0,1
2020-06-26,locally owned,124,4,28,0,106.3,96,90,1.6,1,0,0,0
2020-06-26,wild love,118,3,31,0,81.7,75,65,2.5,1,0,0,0
2020-06-26,freedom's flight,124,4,25,0,89.9,92,86,3.5,1,0,0,0
2020-06-26,queen's mason,125,4,19,1,72.1,89,77,3.5,1,0,0,0
2020-06-26,intrepid heart,122,4,89,2,82.4,100,93,6.0,1,0,0,0
2020-06-26,spectacular gem,122,4,131,3,99.9,102,93,15.0,1,0,0,0
2020-06-26,teenage kicks,118,3,20,0,67.2,77,67,1.2,1,1,0,0
2020-06-27,purrfectly claire,118,3,274,0,66.2,84,74,2.5,1,0,0,0
2020-06-27,frost or frippery,123,7,36,12,92.0,95,92,0.5,1,0,0,1
2020-06-27,hemp hemp hurray,118,5,97,0,72.9,101,86,14.0,1,0,0,0
2020-06-27,amani's eagle,118,3,41,0,84.8,90,80,6.0,1,0,0,0
2020-06-27,wellabled,121,6,28,0,88.1,109,103,6.0,1,0,0,0
2020-06-27,midnight bisou,124,5,118,11,107.2,112,111,0.5,1,0,0,1
2020-06-27,tom's d'etat,124,7,76,10,111.2,115,109,1.2,1,0,0,1
2020-06-27,harvey's lil goil,118,3,56,0,87.9,92,86,11.0,1,0,0,0
