"RCTrack","RCDate","RCRace","Horse","FD","Foreign","Date","Track","Race","Surface","TimeformCode","Inner","Distance","Class","LongClass","ClaimPrice","Purse","TrkCond","RaceSex","RaceAge","StateBred","Starters","FirstFraction","SecondFraction","ThirdFraction","FourthFraction","FifthFraction","SixthFraction","FinalTime","FirstHorse","SecondHorse","ThirdHorse","FirstWeight","SecondWeight","ThirdWeight","FirstLenAdj","SecondLenAdj","ThirdLenAdj","GradedRace","GradedRaceDesc","ForeignCourse","PostPosition","FirstCall","FirstCallLenAdj","SecondCall","SecondCallLenAdj","ThirdCall","ThirdCallLenAdj","FourthCall","FourthCallLenAdj","StrCall","StrCallLenAdj","FinalCall","FinalCallLenAdj","DQ","DH","DQPlace","Beyer","Weight","Apprentice","Comment","LongComment","Odds","OddsPosition","Claimed","Lasix","Bute","Blinker","Bandage","AltEquipment","Jockey","Trainer","Entries","TrackVariant","SpeedRating","Breed","Owner","DistUnit","TimeUnit","LoPrice","TrainYear","TrainStarts","TrainWins","TrainPlaces","TrainShows","TrainWinPct","SealedTrack","PrevTrainYear","PrevTrainStarts","PrevTrainWins","PrevTrainPlaces","PrevTrainShows","PrevTrainWinPct","FirstFracHdths","SecondFracHdths","ThirdFracHdths","FourthFracHdths","FifthFracHdths","SixthFracHdths","FinalTimeHdths"
"GP",05/02/2020,1,"Turn of Events","D",,02/15/2020,"GP",7,"O","","",9.00,"MSW","Md Sp Wt 43k",0.00,43.000,"sly","-","3","",10,48.20,113.20,138.60,138.60,-1.00,-1.00,152.00,"Tapage","Or'effice","Oxide",122,122,122,0.50,0.25,8.00,0,"","D",4,4,3.50,5,3.10,3,3.00,0,0.00,4,8.20,4,8.75,"","",0,57,122,0,"Wkning,lost irons late","",5.10,5,"","L","/","","","","Vasquez M A","Maker Michael J","",18,65,"","","","H",0.00,"",0,0,0,0,0.00,"Y","",,,,,,48.28,113.24,138.66,138.66,-1.00,-1.00,152.17
"GP",05/02/2020,1,"Turn of Events","D",,01/18/2020,"GP",6,"T","","",8.00,"MSW","Md Sp Wt 43k",0.00,43.000,"fm","-","3","",10,23.00,46.80,110.40,122.40,-1.00,-1.00,134.40,"Life On Top","Briefcase Bully","Turn of Events",120,120,120,0.25,0.10,1.00,0,"","H",8,5,3.10,5,2.50,3,1.50,0,0.00,2,0.10,3,0.35,"","",0,77,120,0,"Bmpd st,led late,edged","",24.10,7,"","L","/","","","","Ortiz J L","Maker Michael J","",14,89,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.14,46.92,110.46,122.53,-1.00,-1.00,134.56
"GP",05/02/2020,1,"Turn of Events","D",,12/11/2019,"GP",5,"T","","",8.00,"MSW","Md Sp Wt 41k",0.00,41.000,"fm","-","2","",10,23.60,47.60,112.00,123.40,-1.00,-1.00,134.80,"Summer to Remember","Intentional Walk","Souper Energizer",120,120,120,1.75,2.75,2.25,0,"","C",3,7,10.50,8,9.60,7,7.00,0,0.00,6,9.00,5,8.75,"","",0,55,120,0,"2-3wd turns, no factor","",13.40,5,"","L","/","","","","Ortiz I Jr","Maker Michael J","",11,80,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.65,47.69,112.02,123.52,-1.00,-1.00,134.92
"GP",05/02/2020,1,"Win d'Oro","D",,02/15/2020,"GP",7,"O","","",9.00,"MSW","Md Sp Wt 43k",0.00,43.000,"sly","-","3","",10,48.20,113.20,138.60,138.60,-1.00,-1.00,152.00,"Tapage","Or'effice","Oxide",122,122,122,0.50,0.25,8.00,0,"","B",2,7,5.60,7,4.10,8,8.10,0,0.00,8,17.30,7,25.75,"","",0,32,117,5,"2wd turns, no response","",10.90,7,"","L","/","","","","Torres C A","Casse Mark","",18,48,"","","","H",0.00,"",0,0,0,0,0.00,"Y","",,,,,,48.28,113.24,138.66,138.66,-1.00,-1.00,152.17
"GP",05/02/2020,1,"Win d'Oro","D",,01/18/2020,"GP",6,"T","","",8.00,"MSW","Md Sp Wt 43k",0.00,43.000,"fm","-","3","",10,23.00,46.80,110.40,122.40,-1.00,-1.00,134.40,"Life On Top","Briefcase Bully","Turn of Events",120,120,120,0.25,0.10,1.00,0,"","I",9,9,7.60,9,6.00,9,5.60,0,0.00,9,3.90,8,4.20,"","",0,69,115,5,"Traffic, clipped heels","",35.00,8,"","L","/","","","","Torres C A","Casse Mark","",14,85,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.14,46.92,110.46,122.53,-1.00,-1.00,134.56
"GP",05/02/2020,1,"Win d'Oro","D",,09/08/2019,"KD",2,"T","","",8.00,"MSW","Md Sp Wt 89k",0.00,89.900,"fm","-","2","",11,-1.00,46.80,-1.00,-1.00,-1.00,-1.00,136.60,"Kid Mercury","Aficionado","Blackberry Wine",120,120,120,1.00,0.25,1.00,0,"","G",7,9,4.80,9,4.70,9,7.70,0,0.00,8,6.70,8,6.10,"","",0,51,120,0,"Passed tiring rivals","",10.40,7,"","L","","","","","Mena M","Casse Mark","",-6,92,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,-1.00,46.85,-1.00,-1.00,-1.00,-1.00,136.67
"GP",05/02/2020,1,"Win d'Oro","D",,08/11/2019,"ElP",7,"T","","",8.00,"MSW","Md Sp Wt 50k",0.00,50.000,"fm","-","2","",9,24.20,48.60,114.20,126.20,-1.00,-1.00,138.00,"Hieronymus","The Third Secret","Ahsad",120,120,120,0.50,1.25,0.75,0,"","F",6,8,6.50,8,6.10,7,3.20,0,0.00,6,2.70,6,4.25,"","",0,54,120,0,"Bthrd str, leveled off","",5.20,4,"","L","","","","","Mena M","Casse Mark","",23,69,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,24.37,48.78,114.32,126.37,-1.00,-1.00,138.08
"GP",05/02/2020,1,"East Lex","D",,02/15/2020,"FG",4,"T","","",8.50,"MSW","Md Sp Wt 50k",0.00,50.000,"fm","-","3","",14,23.60,48.40,111.80,136.40,-1.00,-1.00,142.80,"Auburn Hills","Free Spender","East Lex",120,120,120,0.10,1.50,0.75,0,"","N",14,3,2.00,4,2.10,4,2.50,0,0.00,4,3.00,3,1.60,"","",0,72,120,0,"4w1st,2-3w2nd,mvd out","",33.80,12,"","L","","B","","","Santana R Jr","Maker Michael J","",-4,102,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.61,48.47,111.80,136.55,-1.00,-1.00,142.94
"GP",05/02/2020,1,"East Lex","D",,12/27/2019,"FG",8,"O","","",5.50,"MSW","Md Sp Wt 40k",0.00,40.000,"sly","-","2","",9,22.20,46.60,58.60,-1.00,-1.00,-1.00,105.00,"Banks Island","Sky Ride","Kingpin",120,120,120,5.50,0.25,4.25,0,"","I",9,9,0.00,9,18.10,8,15.70,0,0.00,8,19.00,8,21.50,"","",0,32,120,0,"Off slow,inside turn","",16.30,8,"","L","","B","","","Lanerie C J","Maker Michael J","",18,71,"","","","H",0.00,"",0,0,0,0,0.00,"Y","",,,,,,22.39,46.62,58.70,-1.00,-1.00,-1.00,105.10
"GP",05/02/2020,1,"Lascari","F",,04/02/2020,"GP",9,"T","","",8.50,"MSW","Md Sp Wt 38k",0.00,38.000,"fm","-","3","",12,24.20,48.80,112.20,135.60,-1.00,-1.00,141.60,"Ever Dangerous","Bear Alley","This Ill Defend",122,122,122,4.00,1.25,0.50,0,"","H",8,2,1.00,2,1.00,3,2.50,0,0.00,3,3.50,5,6.25,"","",0,69,122,0,"Stalk,2-3wd,gave way","",42.10,10,"","L","/","B","","","Meneses M","De La Cerda Armando","",14,83,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,24.26,48.91,112.29,135.67,-1.00,-1.00,141.76
"GP",05/02/2020,1,"Mighty Tough","D",,03/27/2020,"GP",1,"T","","",8.50,"MSW","Md Sp Wt 43k",0.00,43.000,"fm","-","3","",12,22.40,46.20,110.00,134.60,-1.00,-1.00,141.00,"Rhythm Section","Alonzo Mosely","Malibu Edge",122,122,122,0.05,2.75,0.50,0,"","G",7,11,10.50,12,10.60,12,10.20,0,0.00,11,8.60,9,7.55,"","",0,66,122,0,"Bumped btwn st, outrun","",92.30,12,"","L","/","B","","","Rodriguez A A","Hills Timothy A","",9,84,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.52,46.30,110.00,134.78,-1.00,-1.00,141.04
"GP",05/02/2020,1,"Hero d'Oro","D",,02/29/2020,"GP",8,"D","","",8.00,"MSW","Md Sp Wt 43k",0.00,43.000,"fst","-","3","",12,23.40,46.40,111.40,124.60,-1.00,-1.00,137.80,"Mister Candy Ride","Rogue Element","Gimme Some Mo",120,120,120,0.25,5.50,0.25,0,"","J",10,9,7.40,9,5.80,11,8.70,0,0.00,12,14.20,10,17.25,"","",0,47,120,0,"Brushed st,5wd upr","",6.90,5,"","L","/","","","","Castellano J J","Brown Chad C","",8,66,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.51,46.43,111.59,124.64,-1.00,-1.00,137.80
"GP",05/02/2020,1,"Maine","D",,03/22/2020,"GP",2,"T","","",5.00,"MSW","Md Sp Wt 43k",0.00,43.000,"fm","-","31","",6,21.40,44.20,-1.00,-1.00,-1.00,-1.00,56.20,"Just for One Day","Shared Legacy","Groundbreaking",125,125,125,0.25,3.50,2.75,0,"","E",5,5,0.00,5,2.60,5,3.10,0,0.00,5,4.50,4,6.50,"","",0,51,118,0,"2-3wd turn, no factor","",9.80,4,"","L","/","B","","","Lebron V","Servis John C","",13,80,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,21.55,44.37,-1.00,-1.00,-1.00,-1.00,56.21
"GP",05/02/2020,1,"Maine","D",,01/18/2020,"GP",6,"T","","",8.00,"MSW","Md Sp Wt 43k",0.00,43.000,"fm","-","3","",10,23.00,46.80,110.40,122.40,-1.00,-1.00,134.40,"Life On Top","Briefcase Bully","Turn of Events",120,120,120,0.25,0.10,1.00,0,"","C",3,1,0.50,1,0.50,5,2.10,0,0.00,10,7.90,10,21.95,"","",0,33,120,0,"Caught far turn, spent","",12.00,6,"","L","/","","","","Lopez P","Servis John C","",14,67,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,23.14,46.92,110.46,122.53,-1.00,-1.00,134.56
"GP",05/02/2020,1,"Irked","D",,04/10/2020,"GP",10,"T","","",5.00,"MSW","Md Sp Wt 40k",0.00,40.100,"fm","-","31","",11,22.60,45.00,-1.00,-1.00,-1.00,-1.00,57.00,"Shared Legacy","R Man Joe","Caribbean Gold",125,118,118,1.25,0.50,0.10,0,"","C",3,11,0.00,11,11.60,11,14.70,0,0.00,11,15.20,11,8.90,"","",0,46,118,0,"Failed to respond","",6.70,3,"","L","/","","","","Rosario J","Mott William I","",17,74,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.75,45.19,-1.00,-1.00,-1.00,-1.00,57.09
"GP",05/02/2020,1,"Irked","D",,07/13/2019,"Sar",4,"D","","",5.50,"MSW","Md Sp Wt 90k",0.00,90.000,"fst","-","2","",8,22.60,45.60,57.80,-1.00,-1.00,-1.00,103.60,"Zyramid","Kickin' Kirby","Peddlers Pride",119,119,119,2.75,2.75,2.00,0,"","C",3,8,0.00,8,10.60,8,11.70,0,0.00,8,14.00,7,13.50,"","",0,42,119,0,"Off slow,3w trn,4w1/4","",7.20,3,"","","","B","","","Lezcano J","Mott William I","",7,84,"","","","H",0.00,"",0,0,0,0,0.00,"","",,,,,,22.63,45.71,57.92,-1.00,-1.00,-1.00,103.78
"GP",05/02/2020,2,"London Werewolf","D",,04/12/2020,"GP",2,"D","","",6.00,"CLM","Clm 8000N3L",8.00,16.600,"fst","-","31","",11,22.80,45.80,58.00,-1.00,-1.00,-1.00,110.80,"Followhisfootsteps","Gran Causeway","Luckytobeinamerica",123,117,124,1.75,1.75,0.10,0,"","K",11,6,0.00,10,5.20,10,9.50,0,0.00,10,11.40,8,12.60,"","",0,50,124,0,"Wide trip,no bid","",7.50,4,"","L","/","B","","","Lebron V","Morrison Michael S","",12,76,"","","","H",7.00,"",0,0,0,0,0.00,"","",,,,,,22.97,45.94,58.03,-1.00,-1.00,-1.00,110.90
"GP",05/02/2020,2,"London Werewolf","D",,03/22/2020,"GP",1,"D","","",6.00,"CLM","Clm 6250N2L",6.25,15.400,"fst","-","41","",9,22.40,45.80,58.80,-1.00,-1.00,-1.00,112.00,"London Werewolf","Awesome Action","Starship Taxi",121,121,121,3.75,2.50,1.75,0,"","F",6,1,0.00,7,7.60,7,5.00,0,0.00,1,0.50,1,3.75,"","",0,69,121,0,"Tight btw early,6w3/16","",8.40,4,"","L","/","B","","","Lebron V","Morrison Michael S","",16,83,"","","","H",6.25,"",0,0,0,0,0.00,"","",,,,,,22.41,45.95,58.98,-1.00,-1.00,-1.00,112.14
"GP",05/02/2020,2,"London Werewolf","D",,03/04/2020,"GP",7,"D","","",6.50,"CLM","Clm 6250N2L",6.25,15.400,"fst","-","41","",12,22.80,46.00,111.20,-1.00,-1.00,-1.00,118.20,"Sultry Samurai","Free Flayme","London Werewolf",121,116,121,1.75,0.50,2.75,0,"","H",8,1,0.00,2,2.00,2,1.00,0,0.00,3,0.60,3,2.25,"","",0,59,121,0,"Stalk,bid 2w,wknd late","",6.70,4,"","L","/","B","","","Lebron V","Morrison Michael S","",15,82,"","","","H",6.25,"",0,0,0,0,0.00,"","",,,,,,22.91,46.06,111.25,-1.00,-1.00,-1.00,118.35
"GP",05/02/2020,2,"London Werewolf","D",,02/06/2020,"GP",7,"D","","",7.00,"CLM","Clm 8000N2L",8.00,17.200,"fst","-","41","",8,22.60,45.40,110.60,-1.00,-1.00,-1.00,124.00,"Day","London Werewolf","Steadily",116,121,121,0.10,6.25,6.50,0,"","A",1,3,0.00,2,2.00,2,2.00,0,0.00,2,0.50,2,0.10,"","",0,69,121,0,"Mvd out 1/4,bid,missed","",7.60,5,"","L","/","B","","","Lebron V","Morrison Michael S","",11,80,"","","","H",8.00,"",0,0,0,0,0.00,"","",,,,,,22.73,45.59,110.78,-1.00,-1.00,-1.00,124.19
"GP",05/02/2020,2,"London Werewolf","D",,01/09/2020,"GP",3,"A","","",7.50,"CLM","Clm 16000N2L",16.00,23.100,"fm","-","41","",7,24.40,47.60,111.20,-1.00,-1.00,-1.00,129.60,"Uncle Curly","Mr Stark","Good Solution",121,121,121,0.25,1.75,0.25,0,"","A",1,3,0.00,6,4.20,6,5.50,0,0.00,7,6.00,7,5.75,"","",0,58,121,0,"No factor inside","",69.10,7,"","L","/","B","","","Lebron V","Morrison Michael S","",10,81,"","","","H",14.00,"",0,0,0,0,0.00,"","",,,,,,24.52,47.76,111.34,-1.00,-1.00,-1.00,129.76
"GP",05/02/2020,2,"London Werewolf","D",,12/21/2019,"GP",4,"D","","",8.00,"CLM","Clm 12500N2L",12.50,19.000,"fst","-","31","",5,23.40,46.60,111.40,-1.00,-1.00,-1.00,136.80,"Third Army","Quality Special","Flawless Moon",114,119,119,3.25,0.75,7.75,0,"","C",3,3,1.50,2,0.50,4,3.50,0,0.00,4,6.60,4,11.75,"","",0,52,122,0,"Mild bid, gave way 6f","",11.80,4,"","L","/","B","","","Panici L","Morrison Michael S","",20,71,"","","","H",12.50,"",0,0,0,0,0.00,"","",,,,,,23.42,46.60,111.40,-1.00,-1.00,-1.00,136.90
"GP",05/02/2020,2,"London Werewolf","D",,12/15/2019,"GP",11,"T","","",8.00,"CLM","Clm 16000N2L",16.00,23.700,"fm","-","31","",10,23.80,47.20,110.80,122.80,-1.00,-1.00,135.00,"King Leonardo","I Stand Corrected","King of Leinster",119,119,124,0.75,0.50,0.50,0,"","H",8,5,1.70,5,2.20,6,5.50,0,0.00,6,3.70,7,4.75,"","",0,57,122,0,"Shuffled back far turn","",76.90,10,"","L","/","B","","","Lebron V","Morrison Michael S","",10,83,"","","","H",16.00,"",0,0,0,0,0.00,"","",,,,,,23.94,47.23,110.80,122.95,-1.00,-1.00,135.16
"GP",05/02/2020,2,"London Werewolf","D",,10/23/2019,"GPW",4,"D","","",7.00,"MCL","Md 10000",10.00,14.300,"fst","-","31","",8,22.40,45.60,111.00,-1.00,-1.00,-1.00,124.60,"London Werewolf","Risk for Reward","King Wade",123,115,123,0.25,2.25,2.25,0,"","D",4,1,0.00,3,2.60,3,2.00,0,0.00,2,1.50,1,0.25,"","",0,54,123,0,"3wd bid tn,determindly","",3.00,2,"","L","/","B","","","Lebron V","Morrison Michael S","",19,87,"","","","H",10.00,"",0,0,0,0,0.00,"","",,,,,,22.51,45.60,111.18,-1.00,-1.00,-1.00,124.76
"GP",05/02/2020,2,"London Werewolf","D",,10/09/2019,"GPW",8,"D","","",7.00,"MCL","Md 10000",10.00,14.100,"fst","-","31","",9,22.00,46.60,111.80,-1.00,-1.00,-1.00,125.20,"Gran Causeway","London Werewolf","Titere",120,123,120,3.50,3.75,1.00,0,"","F",6,4,0.00,5,3.10,5,4.10,0,0.00,2,1.00,2,3.50,"","",0,52,123,0,"Bid tn,stayed on 2-3wd","",3.50,3,"","L","/","B","","","Lebron V","Morrison Michael S","",15,80,"","","","H",10.00,"",0,0,0,0,0.00,"","",,,,,,22.16,46.69,111.84,-1.00,-1.00,-1.00,125.28
"GP",05/02/2020,2,"London Werewolf","D",,09/28/2019,"GP",3,"D","","",6.50,"MCL","Md 10000",10.00,20.700,"fst","-","31","",10,23.20,46.80,111.00,-1.00,-1.00,-1.00,117.80,"Flawless Moon","High Approval","London Werewolf",119,119,123,8.25,1.50,2.25,0,"","I",9,2,0.00,6,3.10,4,1.20,0,0.00,4,5.50,3,9.75,"","",0,51,123,0,"Steady 4-5wd bid","",2.20,1,"","L","/","B","","","Gonzales J J","Morrison Michael S","",14,75,"","","","H",10.00,"",0,0,0,0,0.00,"","",,,,,,23.22,46.85,111.18,-1.00,-1.00,-1.00,117.90
"GP",05/02/2020,2,"London Werewolf","D",,09/08/2019,"GP",7,"D","","",6.00,"MCL","Md 10000",10.00,15.800,"fst","-","31","",7,22.80,45.80,58.40,-1.00,-1.00,-1.00,111.60,"Starship Taxi","London Werewolf","High Approval",123,123,119,0.05,4.00,6.75,0,"","A",1,6,0.00,4,3.10,3,2.50,0,0.00,2,2.00,2,0.05,"","",0,62,123,0,"2-3wd tn,gaining,niped","",2.60,2,"","L","/","B","","","Lebron V","Morrison Michael S","",20,84,"","","","H",10.00,"",0,0,0,0,0.00,"","",,,,,,22.87,45.84,58.42,-1.00,-1.00,-1.00,111.75
